"nlcd_sage_1988_mos_rec_v1","nlcd_sage_1989_mos_rec_v1","nlcd_sage_1990_mos_rec_v1","nlcd_sage_1991_mos_rec_v1","nlcd_sage_1992_mos_rec_v1","nlcd_sage_1993_mos_rec_v1","nlcd_sage_1994_mos_rec_v1","nlcd_sage_1995_mos_rec_v1","nlcd_sage_1996_mos_rec_v1","nlcd_sage_1997_mos_rec_v1","nlcd_sage_1998_mos_rec_v1","nlcd_sage_1999_mos_rec_v1","nlcd_sage_2000_mos_rec_v1","nlcd_sage_2001_mos_rec_v1","nlcd_sage_2002_mos_rec_v1","nlcd_sage_2003_mos_rec_v1","nlcd_sage_2004_mos_rec_v1","nlcd_sage_2005_mos_rec_v1","nlcd_sage_2006_mos_rec_v1","nlcd_sage_2007_mos_rec_v1","nlcd_sage_2008_mos_rec_v1","nlcd_sage_2009_mos_rec_v1","nlcd_sage_2010_mos_rec_v1","nlcd_sage_2011_mos_rec_v1","nlcd_sage_2013_mos_rec_v1","nlcd_sage_2014_mos_rec_v1","nlcd_sage_2015_mos_rec_v1","nlcd_sage_2016_mos_rec_v1","nlcd_sage_2017_mos_rec_v1","nlcd_sage_2018_mos_rec_v1"
0,0,4,3,0,12,12,11,10,9,12,11,10,12,11,10,9,8,9,11,11,10,9,9,12,12,11,10,9,8
0,5,8,7,6,10,10,10,10,11,10,10,10,10,10,10,10,10,11,11,11,10,9,11,11,10,10,10,9,10
0,5,8,8,7,11,11,11,11,12,13,13,12,11,11,11,11,10,12,11,11,10,11,10,11,11,11,11,10,11
0,5,6,7,6,14,14,14,14,13,14,14,14,14,14,14,14,13,14,13,13,14,13,14,14,14,13,14,14,14
0,5,8,7,6,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,12,11,12,12,12,11,12,12,12
0,5,8,10,13,15,16,15,15,14,21,20,19,18,17,16,15,14,15,13,13,13,13,13,13,13,13,13,13,13
0,5,8,10,13,15,15,16,20,20,24,23,22,21,20,19,18,20,20,20,20,20,20,20,20,20,20,20,20,20
0,5,8,10,11,12,11,10,10,16,15,14,15,14,13,12,11,12,12,13,13,13,12,13,11,10,11,10,10,10
0,5,8,10,9,10,10,14,13,12,11,14,13,12,15,15,14,13,12,10,10,10,10,13,11,10,11,10,12,15
0,5,8,10,9,11,11,13,12,11,11,13,14,13,13,14,13,12,11,13,13,12,11,12,11,11,11,11,10,9
0,5,8,10,9,13,15,14,14,23,22,21,23,22,21,20,23,23,22,23,23,23,23,23,23,23,23,23,23,23
0,4,8,10,9,15,16,16,15,14,16,15,14,13,12,13,12,11,10,16,16,16,16,15,16,16,15,16,16,16
0,5,8,10,9,13,13,13,12,13,13,13,13,12,13,15,14,13,12,13,13,13,13,13,13,13,14,13,13,13
0,5,8,10,9,15,14,20,19,18,17,16,15,15,14,14,15,16,17,25,25,26,26,26,26,26,26,26,26,26
